url_length,domain_length,num_dots,num_hyphens,num_underscores,num_slashes,num_question_marks,num_equal_signs,num_at_symbols,num_ampersands,has_https,num_digits,num_parameters,uses_ip_address,suspicious_tld,domain_age_days,num_iframes,num_scripts,num_links,num_suspicious_tags,num_forms,has_password_field,has_login_form,has_submit_button,num_images,tiny_text,invisible_elements,popup_count,favicon_mismatch,external_redirects,obfuscated_js,is_phishing
18,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,14,18,21,1,0,0,1,10,30,30,0,0,0,0,0
20,8,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,8,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,9,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,9,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,6,113,26,1,0,0,0,2,0,0,0,0,7,1,0
17,5,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,17,125,186,1,0,0,1,0,0,0,0,0,1,0,0
22,10,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,7,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,41,15,26,0,0,0,0,0,17,17,2,0,1,0,0
22,10,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,7,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,44,6,74,1,0,0,1,1,0,0,1,0,1,0,0
21,9,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,44,0,23,0,0,0,0,2,1,1,0,0,0,0,0
23,11,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,14,18,21,1,0,0,1,10,30,30,0,0,14,0,0
19,7,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,6,113,26,1,0,0,0,2,0,0,0,0,108,1,0
22,10,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,34,130,59,0,0,0,0,94,0,0,0,0,2,0,0
18,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,17,174,55,0,0,0,0,31,31,31,0,0,157,0,0
20,8,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,6,158,152,2,0,0,0,7,14,14,0,1,5,0,0
23,11,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,10,85,41,0,0,0,0,12,0,0,0,1,31,0,0
21,9,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,16,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,9,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
